one,uno,
two,dos,
three,tres,
four,cuatro,
five,cinco,
six,seis,
seven,siete,
eight,ocho,
nine,nueve,
ten,diez,
eleven,once,
twelve,doce,
thirteen,trece,
fourteen,catorce,
fifteen,quince,
sixteen,dieciséis,
seventeen,diecisiete,
eighteen,dieciocho,
nineteen,diecinueve,
,,
,,
,,
twenty,veinte,
twenty-one,veintiuno,
twenty-two,veintidós,
twenty-three,veintitrés,
twenty-four,veinticuatro,
twenty-five,veinticinco,
twenty-sic,veintiséis,
twenty-seven,veintisiete,
twenty-eight,veintiocho,
twenty-nine,veintinueve,
,,
thirty,treinta,
thirty-one,treinta y uno,
,"treinta y ""number""",
,,
,,
,,
,,
,,
,,
,,
,,
,,
forty,cuarenta,
fifty,cincuenta,
sixty,sesenta,
seventy,setenta,
eighty,ochenta,
ninety,noventa,
,,
hundred,cien,
hundred and one,ciento uno,
,"ciento ""number""",
,,
two hundred,doscientos,
three hundred,trescientos,
four hundred,cuatrocientos,
five hundred,quinientos,
six hundred,seiscientos,
seven hundred,setecientos,
eight hundred,ochocientos,
nine hundred,novecientos,
,,
,,
,,
thousand,mil,
two thousand,dos mil,
,,
,,
,,
million,un millón,
two million,dos millones,
,,
,,
,,
billion,billón,
two billion,dos billones,
,,
,,
,,
trillion,trillón,dos trillones
quadrillion,cuatrilló,dos cuatrillones
quintillion,quintillón,
sextillion,sextillón,
septillion,septillón,
octillion,octillón,
nonillion,nonillón,
decillion,decillón,